frame_idx,time_sec,rat_a_slot,rat_b_slot,rat_a_track_id,rat_b_track_id,zone,contact_type,investigator_slot,nose_nose_dist_px,nose_nose_dist_bl,nose_tailbase_dist_px,nose_tailbase_dist_bl,centroid_dist_px,centroid_dist_bl,mask_iou,body_length_a_px,body_length_b_px,velocity_a_px,velocity_b_px,orientation_cos,quality_flag,bout_id
209,6.9667,0,1,1,2,contact,N2B,0,100.9,0.4039,203.6,0.8146,284.1,1.1367,0.0,267.1,245.3,2.3,1.7,-0.9527,,4
210,7.0,0,1,1,2,contact,N2B,0,101.7,0.4052,195.4,0.7785,279.4,1.1135,0.0,273.6,246.8,1.8,1.8,-0.9415,,4
211,7.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
212,7.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
213,7.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
214,7.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
215,7.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
216,7.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
217,7.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
218,7.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
219,7.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
220,7.3333,0,1,1,2,contact,N2B,1,198.0,0.7786,114.7,0.4511,192.9,0.7584,0.0,256.0,264.1,5.7,9.9,-0.9696,,5
221,7.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
222,7.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
223,7.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
224,7.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
225,7.5,0,1,1,2,contact,N2AG,1,291.7,1.1171,49.2,0.1884,139.3,0.5334,0.0,252.8,280.0,7.2,14.7,-0.8667,,6
226,7.5333,0,1,1,2,proximity,,,305.9,1.1755,79.9,0.307,105.6,0.4058,0.0,226.1,279.7,22.7,11.6,-0.8368,,
227,7.5667,0,1,1,2,proximity,,,329.0,1.2688,123.4,0.4759,107.8,0.4155,0.0,206.9,294.6,11.9,15.5,-0.8185,,
228,7.6,0,1,1,2,proximity,,,357.1,1.3738,120.5,0.4635,114.4,0.4401,0.0,237.3,293.7,3.0,13.2,-0.8405,,
229,7.6333,0,1,1,2,proximity,,,377.7,1.45,135.9,0.5217,113.4,0.4353,0.0,243.4,287.3,16.1,12.9,-0.8318,,
230,7.6667,0,1,1,2,proximity,,,389.4,1.4918,143.1,0.5484,115.9,0.444,0.0,247.9,283.8,6.6,6.4,-0.8455,,
231,7.7,0,1,1,2,proximity,,,413.1,1.5752,155.3,0.592,119.8,0.4569,0.0,260.6,286.9,5.4,10.5,-0.8328,,
232,7.7333,0,1,1,2,proximity,,,430.0,1.6344,177.3,0.674,131.7,0.5006,0.0,255.8,284.8,11.9,5.7,-0.8426,,
233,7.7667,0,1,1,2,proximity,,,457.6,1.725,181.0,0.6824,144.9,0.5463,0.0,279.2,290.4,4.0,7.4,-0.8422,,
234,7.8,0,1,1,2,proximity,,,467.6,1.7543,197.4,0.7404,160.6,0.6024,0.0,271.8,284.4,10.2,24.9,-0.8672,,
235,7.8333,0,1,1,2,proximity,,,483.0,1.8039,214.6,0.8014,173.1,0.6466,0.0,270.0,287.3,4.5,9.8,-0.8615,,
236,7.8667,0,1,1,2,proximity,,,497.3,1.8522,227.3,0.8466,191.7,0.7139,0.0,270.5,280.2,7.4,13.2,-0.8864,,
237,7.9,0,1,1,2,proximity,,,521.7,1.9369,254.5,0.9448,203.0,0.7538,0.0,267.3,286.1,7.3,10.7,-0.8939,,
238,7.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
239,7.9667,0,1,1,2,proximity,,,553.9,2.049,284.8,1.0536,235.6,0.8717,0.0,270.7,287.6,10.4,8.1,-0.8667,,
240,8.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
241,8.0333,0,1,1,2,proximity,,,587.5,2.1624,312.4,1.1499,267.3,0.9837,0.0,276.0,280.0,10.8,8.0,-0.8735,,
242,8.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
243,8.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
244,8.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
245,8.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
246,8.2,0,1,1,2,independent,,,659.0,2.4074,393.5,1.4374,330.0,1.2056,0.0,270.5,285.1,6.5,10.0,-0.8368,,
247,8.2333,0,1,1,2,independent,,,674.0,2.4663,417.4,1.5274,349.1,1.2773,0.0,260.7,277.1,8.4,10.9,-0.84,,
248,8.2667,0,1,1,2,independent,,,691.8,2.5395,439.4,1.6129,368.3,1.3521,0.0,254.2,275.4,6.5,13.4,-0.874,,
249,8.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
250,8.3333,0,1,1,2,independent,,,719.6,2.6444,459.7,1.6892,393.3,1.4453,0.0,262.8,280.3,6.4,11.1,-0.8634,,
251,8.3667,0,1,1,2,independent,,,731.2,2.6899,473.4,1.7417,405.4,1.4914,0.0,259.8,278.4,3.5,7.8,-0.8671,,
