frame_idx,time_sec,rat_a_slot,rat_b_slot,rat_a_track_id,rat_b_track_id,zone,contact_type,investigator_slot,nose_nose_dist_px,nose_nose_dist_bl,nose_tailbase_dist_px,nose_tailbase_dist_bl,centroid_dist_px,centroid_dist_bl,mask_iou,body_length_a_px,body_length_b_px,velocity_a_px,velocity_b_px,orientation_cos,quality_flag,bout_id
164,5.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
165,5.5,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
166,5.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
167,5.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
168,5.6,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
169,5.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
170,5.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
171,5.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
172,5.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
173,5.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
174,5.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
175,5.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
176,5.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
177,5.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
178,5.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
179,5.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
180,6.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
181,6.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
182,6.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
183,6.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
184,6.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
185,6.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
186,6.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
187,6.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
188,6.2667,0,1,1,2,independent,,,241.1,0.9616,419.5,1.6732,478.1,1.907,0.0,254.5,216.2,11.2,1.5,-0.677,,
189,6.3,0,1,1,2,independent,,,229.6,0.9216,406.5,1.6317,469.7,1.8854,0.0,255.3,214.6,8.7,1.7,-0.69,,
190,6.3333,0,1,1,2,independent,,,222.7,0.9004,398.0,1.6094,456.3,1.8452,0.0,248.1,213.2,12.9,0.9,-0.7146,,
191,6.3667,0,1,1,2,independent,,,207.6,0.8447,382.0,1.5544,443.4,1.8041,0.0,250.9,213.1,12.3,1.4,-0.7452,,
192,6.4,0,1,1,2,independent,,,196.4,0.8037,373.2,1.5273,438.6,1.7953,0.0,248.1,214.6,13.9,0.3,-0.7657,,
193,6.4333,0,1,1,2,independent,,,179.6,0.737,359.4,1.4752,432.9,1.7769,0.0,259.0,216.1,8.6,0.8,-0.7705,,
194,6.4667,0,1,1,2,independent,,,170.2,0.6987,350.1,1.4376,432.8,1.7775,0.0,266.2,218.5,9.3,1.1,-0.7944,,
195,6.5,0,1,1,2,independent,,,157.9,0.6477,340.0,1.3942,428.9,1.759,0.0,271.9,221.5,8.6,0.4,-0.7989,,
196,6.5333,0,1,1,2,independent,,,147.2,0.6026,331.1,1.3555,418.1,1.7117,0.0,272.7,223.6,9.5,1.6,-0.8071,,
197,6.5667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
198,6.6,0,1,1,2,independent,,,128.9,0.5257,313.3,1.2777,398.9,1.6272,0.0,268.7,228.1,10.7,1.7,-0.8192,,
199,6.6333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
200,6.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
201,6.7,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
202,6.7333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
203,6.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
204,6.8,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
205,6.8333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
206,6.8667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
207,6.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
208,6.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
209,6.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
210,7.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
211,7.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
212,7.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
213,7.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
214,7.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
215,7.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
216,7.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
217,7.2333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
218,7.2667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
219,7.3,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
220,7.3333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
221,7.3667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
222,7.4,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
223,7.4333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
224,7.4667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
225,7.5,0,1,1,2,contact,N2AG,1,287.5,1.1079,44.4,0.1711,141.8,0.5465,0.0,261.8,275.5,8.0,13.9,-0.8868,,2
226,7.5333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
227,7.5667,0,1,1,2,contact,N2AG,1,327.2,1.2526,64.9,0.2483,117.2,0.4489,0.0,262.6,275.3,10.7,14.7,-0.8645,,2
228,7.6,0,1,1,2,proximity,,,349.3,1.3349,96.5,0.3689,111.4,0.4255,0.0,252.9,278.8,10.8,13.1,-0.8492,,
229,7.6333,0,1,1,2,proximity,,,369.7,1.4088,108.7,0.4144,108.2,0.4123,0.0,261.8,276.8,8.4,10.5,-0.8381,,
230,7.6667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
231,7.7,0,1,1,2,proximity,,,409.7,1.5515,143.4,0.5431,118.6,0.4489,0.0,268.2,279.1,6.4,10.2,-0.8307,,
232,7.7333,0,1,1,2,proximity,,,429.4,1.6185,161.3,0.6079,125.3,0.4723,0.0,271.2,281.2,11.0,10.4,-0.818,,
233,7.7667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
234,7.8,0,1,1,2,proximity,,,470.1,1.7623,206.9,0.7757,160.9,0.6031,0.0,264.3,281.6,14.1,16.4,-0.8572,,
235,7.8333,0,1,1,2,proximity,,,492.4,1.8379,217.7,0.8127,170.7,0.6371,0.0,275.0,281.4,3.4,13.2,-0.886,,
236,7.8667,0,1,1,2,proximity,,,503.9,1.8759,233.2,0.8683,187.7,0.6989,0.0,270.9,279.1,7.6,12.2,-0.8931,,
237,7.9,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
238,7.9333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
239,7.9667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
240,8.0,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
241,8.0333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
242,8.0667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
243,8.1,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
244,8.1333,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
245,8.1667,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
246,8.2,0,1,,,independent,,,,,,,,,0.0,,,,,,single_detection,
247,8.2333,0,1,1,2,independent,,,685.9,2.5295,421.2,1.5535,350.1,1.2912,0.0,268.6,284.5,7.8,10.7,-0.8386,,
248,8.2667,0,1,1,2,independent,,,695.9,2.5676,433.5,1.5994,368.8,1.3608,0.0,266.0,274.0,6.1,14.3,-0.8433,,
